Bitcoin,BTC,98474.0,108786.0,False,False,2025-02-05 18:26:23
Ethereum,ETH,2810.56,4878.26,False,False,2025-02-05 18:26:23
XRP,XRP,2.53,3.4,False,False,2025-02-05 18:26:23
Tether,USDT,1.0,1.32,False,False,2025-02-05 18:26:23
Solana,SOL,205.34,293.31,False,False,2025-02-05 18:26:23
BNB,BNB,576.46,788.84,False,False,2025-02-05 18:26:23
USDC,USDC,1.0,1.17,False,False,2025-02-05 18:26:23
Dogecoin,DOGE,0.267253,0.731578,False,False,2025-02-05 18:26:23
Cardano,ADA,0.769473,3.09,False,False,2025-02-05 18:26:23
Lido Staked Ether,STETH,2804.69,4829.57,False,False,2025-02-05 18:26:23
TRON,TRX,0.225851,0.431288,False,False,2025-02-05 18:26:23
Chainlink,LINK,19.96,52.7,False,False,2025-02-05 18:26:23
Wrapped Bitcoin,WBTC,98371.0,108368.0,False,False,2025-02-05 18:26:23
Wrapped stETH,WSTETH,3343.76,7256.02,False,False,2025-02-05 18:26:23
Sui,SUI,3.6,5.35,False,False,2025-02-05 18:26:23
Avalanche,AVAX,26.97,144.96,False,False,2025-02-05 18:26:23
Stellar,XLM,0.342609,0.875563,False,False,2025-02-05 18:26:23
Hedera,HBAR,0.255295,0.569229,False,False,2025-02-05 18:26:23
Toncoin,TON,3.88,8.25,False,False,2025-02-05 18:26:23
Shiba Inu,SHIB,1.635e-05,8.616e-05,False,False,2025-02-05 18:26:23
LEO Token,LEO,9.78,9.93,False,False,2025-02-05 18:26:23
Hyperliquid,HYPE,26.61,34.96,False,False,2025-02-05 18:26:23
Litecoin,LTC,105.19,410.26,False,False,2025-02-05 18:26:23
Bitget Token,BGB,6.59,8.45,False,False,2025-02-05 18:26:23
WETH,WETH,2809.4,4799.89,False,False,2025-02-05 18:26:23
USDS,USDS,1.0,1.057,False,False,2025-02-05 18:26:23
Polkadot,DOT,4.82,54.98,False,False,2025-02-05 18:26:23
Bitcoin Cash,BCH,335.21,3785.82,False,False,2025-02-05 18:26:23
Ethena USDe,USDE,0.998907,1.032,False,False,2025-02-05 18:26:23
Wrapped eETH,WEETH,2973.23,4311.81,False,False,2025-02-05 18:26:23
Uniswap,UNI,9.34,44.92,False,False,2025-02-05 18:26:23
MANTRA,OM,5.77,6.21,False,False,2025-02-05 18:26:23
Ondo,ONDO,1.41,2.14,False,False,2025-02-05 18:26:23
Pepe,PEPE,1.028e-05,2.803e-05,False,False,2025-02-05 18:26:23
Monero,XMR,226.72,542.33,False,False,2025-02-05 18:26:23
Aave,AAVE,275.83,661.69,False,False,2025-02-05 18:26:23
NEAR Protocol,NEAR,3.41,20.44,False,False,2025-02-05 18:26:23
WhiteBIT Coin,WBT,27.52,29.08,False,False,2025-02-05 18:26:23
Mantle,MNT,1.15,1.54,False,False,2025-02-05 18:26:23
Official Trump,TRUMP,19.38,73.43,False,False,2025-02-05 18:26:23
Aptos,APT,6.21,19.92,False,False,2025-02-05 18:26:23
Dai,DAI,0.999313,1.22,False,False,2025-02-05 18:26:23
Internet Computer,ICP,7.18,700.65,False,False,2025-02-05 18:26:23
Ethereum Classic,ETC,21.22,167.09,False,False,2025-02-05 18:26:23
Bittensor,TAO,363.61,757.6,False,False,2025-02-05 18:26:23
VeChain,VET,0.03608008,0.280991,False,False,2025-02-05 18:26:23
Cronos,CRO,0.105076,0.965407,False,False,2025-02-05 18:26:23
OKB,OKB,47.05,73.8,False,False,2025-02-05 18:26:23
POL (ex-MATIC),POL,0.322712,1.29,False,False,2025-02-05 18:26:23
Gate,GT,21.08,25.94,False,False,2025-02-05 18:26:23
sUSDS,SUSDS,1.031,1.088,False,False,2025-02-05 18:26:23
Kaspa,KAS,0.098168,0.207411,False,False,2025-02-05 18:26:23
Algorand,ALGO,0.294185,3.56,False,False,2025-02-05 18:26:23
Jupiter,JUP,0.938286,2.0,False,False,2025-02-05 18:26:23
Render,RENDER,4.67,13.53,False,False,2025-02-05 18:26:23
Coinbase Wrapped BTC,CBBTC,98568.0,108953.0,False,False,2025-02-05 18:26:23
Tokenize Xchange,TKX,27.13,50.43,False,False,2025-02-05 18:26:23
Arbitrum,ARB,0.494649,2.39,False,False,2025-02-05 18:26:23
Filecoin,FIL,3.35,236.84,False,False,2025-02-05 18:26:23
Cosmos Hub,ATOM,4.78,44.45,False,False,2025-02-05 18:26:23
Artificial Superintelligence Alliance,FET,0.792686,3.45,False,False,2025-02-05 18:26:23
Ethena,ENA,0.590386,1.52,False,False,2025-02-05 18:26:23
First Digital USD,FDUSD,0.997979,1.15,False,False,2025-02-05 18:26:23
Lombard Staked BTC,LBTC,98226.0,114576.0,False,False,2025-02-05 18:26:23
Binance-Peg WETH,WETH,2815.33,4098.26,False,False,2025-02-05 18:26:23
Fasttoken,FTN,3.93,3.96,False,False,2025-02-05 18:26:23
Raydium,RAY,5.79,16.83,False,False,2025-02-05 18:26:23
Celestia,TIA,3.22,20.85,False,False,2025-02-05 18:26:23
Lido DAO,LDO,1.82,7.3,False,False,2025-02-05 18:26:23
Binance Staked SOL,BNSOL,212.36,297.96,False,False,2025-02-05 18:26:23
Kelp DAO Restaked ETH,RSETH,2908.42,4216.2,False,False,2025-02-05 18:26:23
KuCoin,KCS,12.79,28.83,False,False,2025-02-05 18:26:23
Stacks,STX,1.019,3.86,False,False,2025-02-05 18:26:23
Optimism,OP,1.13,4.84,False,False,2025-02-05 18:26:23
Movement,MOVE,0.635475,1.45,False,False,2025-02-05 18:26:23
Solv Protocol SolvBTC,SOLVBTC,98345.0,108929.0,False,False,2025-02-05 18:26:23
Theta Network,THETA,1.46,15.72,False,False,2025-02-05 18:26:23
Immutable,IMX,0.833202,9.52,False,False,2025-02-05 18:26:23
Sonic (prev. FTM),S,0.450029,1.029,False,False,2025-02-05 18:26:23
Injective,INJ,14.7,52.62,False,False,2025-02-05 18:26:23
XDC Network,XDC,0.091613,0.192754,False,False,2025-02-05 18:26:23
Bonk,BONK,1.864e-05,5.825e-05,False,False,2025-02-05 18:26:23
Rocket Pool ETH,RETH,3132.62,4814.31,False,False,2025-02-05 18:26:23
NEXO,NEXO,1.39,4.07,False,False,2025-02-05 18:26:23
The Graph,GRT,0.14045,2.84,False,False,2025-02-05 18:26:23
Mantle Staked Ether,METH,2965.18,4729.53,False,False,2025-02-05 18:26:23
Worldcoin,WLD,1.35,11.74,False,False,2025-02-05 18:26:23
Quant,QNT,91.47,427.42,False,False,2025-02-05 18:26:23
DeXe,DEXE,21.94,32.38,False,False,2025-02-05 18:26:23
Flare,FLR,0.02093252,0.150073,False,False,2025-02-05 18:26:23
Usual USD,USD0,0.998305,1.33,False,False,2025-02-05 18:26:23
JasmyCoin,JASMY,0.02395246,4.79,False,False,2025-02-05 18:26:23
Sei,SEI,0.244075,1.14,False,False,2025-02-05 18:26:23
Marinade Staked SOL,MSOL,259.71,363.77,False,False,2025-02-05 18:26:23
GALA,GALA,0.02376918,0.824837,False,False,2025-02-05 18:26:23
Onyxcoin,XCN,0.03127806,0.184139,False,False,2025-02-05 18:26:23
The Sandbox,SAND,0.41123,8.4,False,False,2025-02-05 18:26:23
Virtuals Protocol,VIRTUAL,1.51,5.07,False,False,2025-02-05 18:26:23
FLOKI,FLOKI,9.926e-05,0.00034495,False,False,2025-02-05 18:26:23
EOS,EOS,0.617016,22.71,False,False,2025-02-05 18:26:23
Bitcoin,BTC,98474.0,108786.0,False,False,2025-02-05 18:27:50
Ethereum,ETH,2810.56,4878.26,False,False,2025-02-05 18:27:50
XRP,XRP,2.53,3.4,False,False,2025-02-05 18:27:50
Tether,USDT,1.0,1.32,False,False,2025-02-05 18:27:50
Solana,SOL,205.34,293.31,False,False,2025-02-05 18:27:50
BNB,BNB,576.46,788.84,False,False,2025-02-05 18:27:50
USDC,USDC,1.0,1.17,False,False,2025-02-05 18:27:50
Dogecoin,DOGE,0.267253,0.731578,False,False,2025-02-05 18:27:50
Cardano,ADA,0.769473,3.09,False,False,2025-02-05 18:27:50
Lido Staked Ether,STETH,2804.69,4829.57,False,False,2025-02-05 18:27:50
TRON,TRX,0.225851,0.431288,False,False,2025-02-05 18:27:50
Chainlink,LINK,19.96,52.7,False,False,2025-02-05 18:27:50
Wrapped Bitcoin,WBTC,98371.0,108368.0,False,False,2025-02-05 18:27:50
Wrapped stETH,WSTETH,3343.76,7256.02,False,False,2025-02-05 18:27:50
Sui,SUI,3.6,5.35,False,False,2025-02-05 18:27:50
Avalanche,AVAX,26.97,144.96,False,False,2025-02-05 18:27:50
Stellar,XLM,0.342609,0.875563,False,False,2025-02-05 18:27:50
Hedera,HBAR,0.255295,0.569229,False,False,2025-02-05 18:27:50
Toncoin,TON,3.88,8.25,False,False,2025-02-05 18:27:50
Shiba Inu,SHIB,1.635e-05,8.616e-05,False,False,2025-02-05 18:27:50
LEO Token,LEO,9.78,9.93,False,False,2025-02-05 18:27:50
Hyperliquid,HYPE,26.61,34.96,False,False,2025-02-05 18:27:50
Litecoin,LTC,105.19,410.26,False,False,2025-02-05 18:27:50
Bitget Token,BGB,6.59,8.45,False,False,2025-02-05 18:27:50
WETH,WETH,2809.4,4799.89,False,False,2025-02-05 18:27:50
USDS,USDS,1.0,1.057,False,False,2025-02-05 18:27:50
Polkadot,DOT,4.82,54.98,False,False,2025-02-05 18:27:50
Bitcoin Cash,BCH,335.21,3785.82,False,False,2025-02-05 18:27:50
Ethena USDe,USDE,0.998907,1.032,False,False,2025-02-05 18:27:50
Wrapped eETH,WEETH,2973.23,4311.81,False,False,2025-02-05 18:27:50
Uniswap,UNI,9.34,44.92,False,False,2025-02-05 18:27:50
MANTRA,OM,5.77,6.21,False,False,2025-02-05 18:27:50
Ondo,ONDO,1.41,2.14,False,False,2025-02-05 18:27:50
Pepe,PEPE,1.028e-05,2.803e-05,False,False,2025-02-05 18:27:50
Monero,XMR,226.72,542.33,False,False,2025-02-05 18:27:50
Aave,AAVE,275.83,661.69,False,False,2025-02-05 18:27:50
NEAR Protocol,NEAR,3.41,20.44,False,False,2025-02-05 18:27:50
WhiteBIT Coin,WBT,27.52,29.08,False,False,2025-02-05 18:27:50
Mantle,MNT,1.15,1.54,False,False,2025-02-05 18:27:50
Official Trump,TRUMP,19.38,73.43,False,False,2025-02-05 18:27:50
Aptos,APT,6.21,19.92,False,False,2025-02-05 18:27:50
Dai,DAI,0.999313,1.22,False,False,2025-02-05 18:27:50
Internet Computer,ICP,7.18,700.65,False,False,2025-02-05 18:27:50
Ethereum Classic,ETC,21.22,167.09,False,False,2025-02-05 18:27:50
Bittensor,TAO,363.61,757.6,False,False,2025-02-05 18:27:50
VeChain,VET,0.03608008,0.280991,False,False,2025-02-05 18:27:50
Cronos,CRO,0.105076,0.965407,False,False,2025-02-05 18:27:50
OKB,OKB,47.05,73.8,False,False,2025-02-05 18:27:50
POL (ex-MATIC),POL,0.322712,1.29,False,False,2025-02-05 18:27:50
Gate,GT,21.08,25.94,False,False,2025-02-05 18:27:50
sUSDS,SUSDS,1.031,1.088,False,False,2025-02-05 18:27:50
Kaspa,KAS,0.098168,0.207411,False,False,2025-02-05 18:27:50
Algorand,ALGO,0.294185,3.56,False,False,2025-02-05 18:27:50
Jupiter,JUP,0.938286,2.0,False,False,2025-02-05 18:27:50
Render,RENDER,4.67,13.53,False,False,2025-02-05 18:27:50
Coinbase Wrapped BTC,CBBTC,98568.0,108953.0,False,False,2025-02-05 18:27:50
Tokenize Xchange,TKX,27.13,50.43,False,False,2025-02-05 18:27:50
Arbitrum,ARB,0.494649,2.39,False,False,2025-02-05 18:27:50
Filecoin,FIL,3.35,236.84,False,False,2025-02-05 18:27:50
Cosmos Hub,ATOM,4.78,44.45,False,False,2025-02-05 18:27:50
Artificial Superintelligence Alliance,FET,0.792686,3.45,False,False,2025-02-05 18:27:50
Ethena,ENA,0.590386,1.52,False,False,2025-02-05 18:27:50
First Digital USD,FDUSD,0.997979,1.15,False,False,2025-02-05 18:27:50
Lombard Staked BTC,LBTC,98226.0,114576.0,False,False,2025-02-05 18:27:50
Binance-Peg WETH,WETH,2815.33,4098.26,False,False,2025-02-05 18:27:50
Fasttoken,FTN,3.93,3.96,False,False,2025-02-05 18:27:50
Raydium,RAY,5.79,16.83,False,False,2025-02-05 18:27:50
Celestia,TIA,3.22,20.85,False,False,2025-02-05 18:27:50
Lido DAO,LDO,1.82,7.3,False,False,2025-02-05 18:27:50
Binance Staked SOL,BNSOL,212.36,297.96,False,False,2025-02-05 18:27:50
Kelp DAO Restaked ETH,RSETH,2908.42,4216.2,False,False,2025-02-05 18:27:50
KuCoin,KCS,12.79,28.83,False,False,2025-02-05 18:27:50
Stacks,STX,1.019,3.86,False,False,2025-02-05 18:27:50
Optimism,OP,1.13,4.84,False,False,2025-02-05 18:27:50
Movement,MOVE,0.635475,1.45,False,False,2025-02-05 18:27:50
Solv Protocol SolvBTC,SOLVBTC,98345.0,108929.0,False,False,2025-02-05 18:27:50
Theta Network,THETA,1.46,15.72,False,False,2025-02-05 18:27:50
Immutable,IMX,0.833202,9.52,False,False,2025-02-05 18:27:50
Sonic (prev. FTM),S,0.450029,1.029,False,False,2025-02-05 18:27:50
Injective,INJ,14.7,52.62,False,False,2025-02-05 18:27:50
XDC Network,XDC,0.091613,0.192754,False,False,2025-02-05 18:27:50
Bonk,BONK,1.864e-05,5.825e-05,False,False,2025-02-05 18:27:50
Rocket Pool ETH,RETH,3132.62,4814.31,False,False,2025-02-05 18:27:50
NEXO,NEXO,1.39,4.07,False,False,2025-02-05 18:27:50
The Graph,GRT,0.14045,2.84,False,False,2025-02-05 18:27:50
Mantle Staked Ether,METH,2965.18,4729.53,False,False,2025-02-05 18:27:50
Worldcoin,WLD,1.35,11.74,False,False,2025-02-05 18:27:50
Quant,QNT,91.47,427.42,False,False,2025-02-05 18:27:50
DeXe,DEXE,21.94,32.38,False,False,2025-02-05 18:27:50
Flare,FLR,0.02093252,0.150073,False,False,2025-02-05 18:27:50
Usual USD,USD0,0.998305,1.33,False,False,2025-02-05 18:27:50
JasmyCoin,JASMY,0.02395246,4.79,False,False,2025-02-05 18:27:50
Sei,SEI,0.244075,1.14,False,False,2025-02-05 18:27:50
Marinade Staked SOL,MSOL,259.71,363.77,False,False,2025-02-05 18:27:50
GALA,GALA,0.02376918,0.824837,False,False,2025-02-05 18:27:50
Onyxcoin,XCN,0.03127806,0.184139,False,False,2025-02-05 18:27:50
The Sandbox,SAND,0.41123,8.4,False,False,2025-02-05 18:27:50
Virtuals Protocol,VIRTUAL,1.51,5.07,False,False,2025-02-05 18:27:50
FLOKI,FLOKI,9.926e-05,0.00034495,False,False,2025-02-05 18:27:50
EOS,EOS,0.617016,22.71,False,False,2025-02-05 18:27:50
